(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0BWLP5NDS,B01E46PJCE,MOVOFLEX Soft Chews Hip and Joint Support Supplement for Dogs for Medium Dogs - 60 Count By Virbac,RC-VB-062095-1,"59,330","1,039",1.23%,1.27%,"80,637","1,423",1.25%,1.30%,92.84%,91.63%,"36,765",397,61.97%,38.21%,"$2,309,707.02","$21,365.67","35,957",250
B0BWLP5NDS,B01E46WJIG,Soft Chews Hip and Joint Support Supplement for Small Dogs - Movoflex 60 Count by Virbac,RC-VB-062094,"55,537",841,1.15%,1.03%,"76,302","1,112",1.18%,1.02%,94.20%,91.59%,"28,444",202,51.22%,24.02%,"$1,550,235.60","$11,022.58","28,054",198
B0BWLP5NDS,B01E44ZX9U,Soft Chews Hip and Joint Support Supplement for Large Dogs - Movoflex 60 Count by Virbac,RC-VB-062096,"43,542",799,0.90%,0.98%,"62,968","1,126",0.98%,1.03%,92.75%,87.64%,"24,252",181,55.70%,22.65%,"$1,737,930.37","$12,990.05","23,605",168
B0CNVBGN53,B08MFNJSPG,"Wrap Buddies Wrapping Paper Clamps - 2 Gift Wrapping Paper Holder Clamps with Integrated Tape Dispensers, Simple Gift Wrap Table Clamps, Wrapping Paper Holder Clips and Tape Dispensers (Cherry Red)",RB-WRA-WBRD,"195,716","3,556",4.07%,4.36%,"263,523","4,851",4.09%,4.44%,96.35%,97.02%,"19,638",483,10.03%,13.58%,"$490,139.12","$12,070.06","18,484",405
B0BWLP5NDS,B0BHC99KGY,Advanced Soft Chews Hip and Joint Support Supplement for Medium Dogs - Movoflex 60 Count by Virbac,RC-VB-118163,"54,908",950,1.14%,1.16%,"75,301","1,312",1.17%,1.20%,97.37%,99.10%,"18,532",150,33.75%,15.79%,"$1,194,334.94","$9,687.33","18,354",148
B0BWLP5NDS,B0BHBNLNM1,Advanced Soft Chews Hip and Joint Support Supplement for Small Dogs - Movoflex 60 Count by Virbac,RC-VB-118150,"42,237",695,0.88%,0.85%,"58,778",912,0.91%,0.84%,96.76%,97.35%,"15,493",125,36.68%,17.99%,"$861,759.25","$6,952.31","15,298",123
B0BWLP5NDS,B0BHBW54WV,Advanced Soft Chews Hip Joint Support Supplement for Large Dogs- Movoflex 60 Count by Virbac,RC-VB-118164,"48,746",901,1.01%,1.10%,"65,834","1,123",1.02%,1.03%,94.08%,98.79%,"12,874",137,26.41%,15.21%,"$951,842.39","$10,126.05","12,706",134
B0CL77KSXM,B0BL56DXNX,"Buddeez Bread Buddy Bread Box – Red Lid, Pack of 1",RC-BUD-00106R-7427-BAG-FBA,"110,507","1,462",2.30%,1.79%,"152,517","2,015",2.37%,1.84%,93.54%,95.15%,"13,120",123,11.87%,8.41%,"$185,519.47","$1,744.52","12,365",108
B0CNVBGN53,B07W7646SJ,"Wrap Buddies Tabletop Gift Wrapping Tool, 2 Clamps - Gift Wrap Clamp with Tape Dispenser for Easier Gift Wrapping This Holiday - Slate Grey",RB-WRA-WBGY,"129,430","2,600",2.69%,3.19%,"171,051","3,521",2.65%,3.22%,99.72%,99.56%,"12,496",322,9.65%,12.38%,"$311,153.45","$7,933.75","11,869",294
B004JR1YJQ,B004JR1YJQ,"Myogenix Myovite Multivitamins for Athletes - High Performance Vitamins for Men and Women Athletes, Daily Vitamins for Optimum Nutrition, Muscle Function, and General Health, 44 Packets per Box",RC-MYO-VIT44P022,"30,498",595,0.63%,0.73%,"47,495",920,0.74%,0.84%,82.40%,84.71%,"10,927",193,35.83%,32.44%,"$475,749.85","$8,347.41","10,277",173
B0DJH1T1JC,B09NB1XG6T,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Small Dogs (12oz, 48 Count)",RC-PBL-115807,"20,543",326,0.43%,0.40%,"29,481",459,0.46%,0.42%,97.83%,100.00%,"8,079",73,39.33%,22.39%,"$203,245.09","$1,772.98","7,641",55
B0BWLP5NDS,B07L9Q6ZYJ,MOVOFLEX Soft Chews Hip and Joint Support Supplement for Medium Dogs -120 Count by Virbac,RC-VB-062095-1-2pk,"15,681",334,0.33%,0.41%,"20,451",518,0.32%,0.47%,97.88%,85.87%,"7,508",89,47.88%,26.65%,"$889,255.81","$10,369.33","7,424",89
B0BWLP5NDS,B07L9V5D7Z,MOVOFLEX Soft Chews Hip and Joint Support Supplement for Small Dogs - Hip and Joint Support -120 Count by Virbac,RC-VB-062094-2pk,"19,267",326,0.40%,0.40%,"25,325",407,0.39%,0.37%,96.74%,95.94%,"7,169",58,37.21%,17.79%,"$728,727.67","$5,897.63","7,035",52
